,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,1976Proportion,1980Proportion,1984Proportion,1988Proportion,1992Proportion,1996Proportion,2000Proportion,2004Proportion,2008Proportion,2012Proportion,2016Proportion,2020Proportion,2024Proportion,2028Proportion,2032Proportion,2036Proportion,2040Proportion,2020Total,2024Total,2028Total,2032Total,2036Total
0,Alachua,0.642051282051282,0.3579487179487179,44578,0.5753575357535753,0.42464246424642466,51364,0.46446446446446443,0.5355355355355355,57253,0.493427704752275,0.506572295247725,60213,0.6238993710691824,0.3761006289308176,76372,0.6131968145620023,0.3868031854379977,74516,0.5810526315789474,0.4189473684210526,85757,0.5666666666666667,0.4333333333333333,111328,0.6091370558375635,0.39086294416243655,125967,0.5881753312945974,0.4118246687054027,120773,0.6182396606574762,0.38176033934252385,130100,0.11555921030747618,0.141225668051282,-0.03808949724642474,-0.031476071535535555,0.11128880375227501,0.11337651434618234,0.16625022897800223,0.1727488290139474,0.10568225337266668,0.07458786522056349,0.04082269809659744,0.07654238734187047,0.06859588953306073,0.06066508077258348,0.052749899231599784,0.044850283446074,0.03696617231386057,198911.7142857143,0.014149437202945297,0.013931233992601507,0.01369672611571632,0.01399564462177731,0.014370885202270981,0.014049718915119455,0.014381591723587406,0.014629700810476069,0.014974461853976915,0.014221988694995084,0.01369122468267877,21480135.857142854,21522570.999999996,21565006.14285714,21607441.285714284,21649876.428571425,21692311.571428567,145867.7857142857,156476.57142857142,167085.35714285716,177694.14285714284,188302.92857142858
1,Baker,0.7385892116182573,0.2614107883817427,4195,0.5335365853658536,0.4664634146341463,4976,0.284,0.716,4866,0.2835671342685371,0.7164328657314629,4781,0.3659147869674185,0.6340852130325815,6756,0.38127090301003347,0.6187290969899666,6637,0.29867482161060144,0.7013251783893986,8155,0.21987951807228914,0.7801204819277109,9955,0.21169354838709678,0.7883064516129032,11087,0.20484359233097882,0.7951564076690212,11390,0.17008196721311478,0.8299180327868853,12705,-0.3325984831368852,0.23776359761825727,-0.07991044763414645,-0.211940536,-0.0985717667314629,-0.1446080697555815,-0.06567568257396655,-0.10962898095439855,-0.24110489522171083,-0.32285564222990326,-0.34250904086702116,-0.3956481222541015,-0.43725000377145307,-0.47876974924025717,-0.5202076823497634,-0.5615641248794248,-0.6028393967140744,19540.22619047619,0.001331528760068992,0.001349618805918252,0.001164100907883877,0.0011112745908145635,0.0012712735089632685,0.001251382044656823,0.0013676070817059283,0.0013081944485510318,0.0013179789831864065,0.0013412637860779645,0.0013370254388426885,2259286.9880952383,2263753.0833333335,2268219.1785714286,2272685.273809524,2277151.369047619,2281617.4642857146,13957.607142857143,15074.130952380952,16190.654761904763,17307.178571428572,18423.70238095238
2,Bay,0.5111561866125761,0.488843813387424,29484,0.3713692946058091,0.6286307053941909,34561,0.242,0.758,38744,0.2676767676767677,0.7323232323232324,43851,0.3597951344430218,0.6402048655569783,45689,0.37542662116040953,0.6245733788395904,51694,0.3282208588957055,0.6717791411042944,58876,0.28298086606243705,0.7170191339375629,75024,0.29453441295546556,0.7054655870445343,81366,0.27918781725888325,0.7208121827411168,80101,0.259453781512605,0.7405462184873949,88222,-0.24322666883739497,0.010330572612576083,-0.24207773839419094,-0.253940536,-0.1144621333232323,-0.15072772227997822,-0.07151996442359049,-0.08008294366929447,-0.17800354723156292,-0.24001477766153445,-0.26816481593911673,-0.27989703990685655,-0.30453791891939375,-0.32913014858336,-0.35367392062056524,-0.37816942562163547,-0.40261685305499384,132082.63095238095,0.00935847293489253,0.00937382949182892,0.009268788650853458,0.010192533378332865,0.008597278767173295,0.009746714391515716,0.009873603254753923,0.009858963365956062,0.009672470275633187,0.009432534725955314,0.009284144688357313,14169807.94047619,14197799.416666668,14225790.892857144,14253782.36904762,14281773.845238095,14309765.321428573,97093.28571428571,104091.15476190476,111089.02380952382,118086.89285714287,125084.76190476191
3,Bradford,0.6973684210526315,0.30263157894736836,5617,0.5463812436289501,0.45361875637105,6243,0.36200000000000004,0.638,6471,0.3614457831325301,0.6385542168674699,6636,0.453416149068323,0.546583850931677,8341,0.4537346711259755,0.5462653288740245,8248,0.3619631901840491,0.6380368098159509,8675,0.3005025125628141,0.6994974874371859,10855,0.2965587044534413,0.7034412955465588,11703,0.2878787878787879,0.7121212121212122,11664,0.24743326488706366,0.7525667351129363,12158,-0.25524718546293634,0.1965428070526315,-0.0670657893710499,-0.13394053599999994,-0.020693117867469857,-0.057106707654677014,0.006788085541975464,-0.046340612380950885,-0.1604819007311859,-0.23799048616355872,-0.2594738453192121,-0.31575711912702786,-0.35702452513262983,-0.3982104554563648,-0.43931523118504856,-0.4803391715110479,-0.5212825937474008,17454.440476190477,0.0017828836818373128,0.0016932616972161671,0.001548067606846808,0.0015424426238538891,0.0015695222525551544,0.0015551301950172483,0.001454811947737453,0.001426464162633998,0.00139120664203396,0.0013735294820731675,0.0012794612582014487,1636917.3452380951,1640146.5833333333,1643375.8214285714,1646605.0595238095,1649834.2976190476,1653063.5357142857,13417.892857142859,14225.202380952382,15032.511904761906,15839.82142857143,16647.130952380954
4,Brevard,0.5111788617886178,0.4888211382113821,92364,0.35927505330490406,0.6407249466950958,115636,0.265,0.735,139511,0.29061553985872857,0.7093844601412714,149159,0.4193548387096774,0.5806451612903226,195860,0.4774044032444959,0.522595596755504,195133,0.45790554414784396,0.542094455852156,218488,0.41893252769385697,0.581067472306143,265462,0.4478216818642351,0.5521783181357649,288927,0.43553299492385783,0.5644670050761421,286428,0.39662447257383965,0.6033755274261603,318141,-0.10605597777616033,0.010353247788617792,-0.254171979695096,-0.23094053599999997,-0.09152336114127141,-0.09116801801332264,0.03045781766049588,0.04960174158284397,-0.042051885600143,-0.08672750875276491,-0.11181963827414215,-0.09061519068045953,-0.09822110429834652,-0.10581200129517754,-0.11338794084981885,-0.12094898179197955,-0.12849518260499693,461826.7142857143,0.029317120952327143,0.03136344860151989,0.03337543809284578,0.03466986126151631,0.036854888908458526,0.03679161255386769,0.03664080147979949,0.03488457204432486,0.03434650614910245,0.03372919260041608,0.033479937830684904,47365688.85714286,47459216.0,47552743.14285714,47646270.28571428,47739797.42857143,47833324.571428575,344917.7857142857,368299.5714285714,391681.35714285716,415063.14285714284,438444.9285714285
5,Broward,0.5227963525835866,0.47720364741641336,342343,0.38907103825136613,0.6109289617486339,410561,0.433,0.5670000000000001,449226,0.49748743718592964,0.5025125628140703,440605,0.626360338573156,0.37363966142684407,533050,0.6917211328976035,0.30827886710239655,505098,0.6856561546286877,0.31434384537131227,575239,0.6497975708502024,0.35020242914979755,706872,0.67472306143001,0.3252769385699899,735091,0.675730110775428,0.32426988922457206,757354,0.6793422404933196,0.32065775950668035,837388,0.17666179014331962,0.021970738583586558,-0.2243759947486339,-0.06294053599999999,0.11534853618592966,0.11583748185015597,0.24477454731360349,0.2773523520636877,0.18881315755620243,0.14017387081301003,0.128377477577428,0.17832662198102156,0.17941034928010868,0.18049193693851695,0.18157139338833606,0.18264872701190882,0.18372394614222198,1170215.9761904762,0.1086625864858877,0.11135467173967112,0.10746904941328453,0.10241228635972616,0.1003037809284888,0.09523437818171945,0.09646853832905415,0.09289061037028276,0.08738472884725162,0.08918450337500358,0.08812349926655656,113902950.23809524,114127741.33333334,114352532.42857143,114577323.52380952,114802114.61904763,115026905.71428572,889227.107142857,945424.880952381,1001622.6547619047,1057820.4285714286,1114018.2023809524
6,Calhoun,0.6828774062816616,0.3171225937183384,3689,0.6046986721144024,0.3953013278855976,3884,0.345,0.655,3807,0.35418768920282545,0.6458123107971746,3784,0.49189189189189186,0.5081081081081081,4579,0.5106635071090048,0.4893364928909952,4158,0.42901234567901236,0.5709876543209876,5175,0.358948432760364,0.641051567239636,5963,0.2954314720812183,0.7045685279187818,6264,0.27589743589743587,0.724102564102564,6183,0.21079958463136034,0.7892004153686397,6128,-0.29188086571863964,0.18205179228166157,-0.008748360885597606,-0.15094053600000001,-0.027951211797174524,-0.018630964831108154,0.06371692152500474,0.02070854311401238,-0.102035980533636,-0.23911771853578173,-0.2714551973005641,-0.3293633812995438,-0.3781570833856449,-0.4268544503605085,-0.4754558618703584,-0.5239616953214465,-0.5723723258979021,8845.595238095239,0.001170920046697142,0.0010534404023686678,0.0009107546560447842,0.0008795363002807589,0.0008616283892159275,0.0007839756729972985,0.0008678561186791146,0.0007836025611963639,0.0007446396997095382,0.0007280978041545263,0.0006448872010411645,761907.5476190476,763409.1666666666,764910.7857142857,766412.4047619047,767914.0238095238,769415.6428571428,6968.571428571429,7343.976190476191,7719.380952380953,8094.785714285715,8470.190476190477
7,Charlotte,0.44771573604060916,0.5522842639593909,23333,0.3228511530398323,0.6771488469601677,31700,0.29100000000000004,0.7090000000000001,38793,0.35613682092555327,0.6438631790744467,45159,0.48488830486202367,0.5151116951379764,62064,0.49311926605504586,0.5068807339449541,63027,0.45529290853031856,0.5447070914696814,66900,0.43509127789046653,0.5649087221095336,79786,0.46348884381338745,0.5365111561866126,85499,0.4281376518218623,0.5718623481781376,84923,0.3568464730290456,0.6431535269709543,97187,-0.14583397732095438,-0.05310987795939087,-0.2905958799601677,-0.20494053599999995,-0.02600208007444671,-0.02563455186097635,0.046172680471045835,0.04698910596531858,-0.02589313540353344,-0.07106034680361256,-0.11921498137613767,-0.13235350057469475,-0.1527276838037892,-0.17306164157092496,-0.19335553240026115,-0.2136095138806695,-0.23382374267316663,136264.95238095237,0.007406093100998758,0.00859785292355478,0.009280510998672265,0.010496559139634988,0.011678555219108393,0.011883510038961216,0.011219241418286525,0.01048474156424838,0.010163785071115232,0.010000363872265055,0.010227586881133755,13480773.976190476,13507383.166666666,13533992.357142858,13560601.547619049,13587210.738095239,13613819.92857143,103003.46428571429,109655.76190476191,116308.05952380953,122960.35714285714,129612.65476190476
8,Citrus,0.5422177009155645,0.4577822990844354,17707,0.390625,0.609375,24430,0.335,0.665,31236,0.3661971830985915,0.6338028169014084,33474,0.49239280774550476,0.5076071922544951,44746,0.5223529411764706,0.4776470588235294,49600,0.4612202688728025,0.5387797311271976,57248,0.42525252525252527,0.5747474747474748,69467,0.4185336048879837,0.5814663951120163,76509,0.3894523326572008,0.6105476673427993,74169,0.2947916666666667,0.7052083333333333,80412,-0.2078887836833333,0.04139208691556451,-0.22282203300000003,-0.16094053599999997,-0.01594171790140847,-0.01813004897749526,0.07540635559247055,0.0529164663078025,-0.0357318880414747,-0.11601558572901632,-0.15790030054079918,-0.19717914411297954,-0.2290269030613814,-0.260811783866302,-0.29253403432366554,-0.32419390076741195,-0.35579162808105025,125012.13095238096,0.005620352742441392,0.006626042489666981,0.007472637887106614,0.007780549184883225,0.008419834877452697,0.009351898359948534,0.009600584943409074,0.00912871358689046,0.009095089205791357,0.008733994183460627,0.008462250262748388,13704366.44047619,13731443.916666668,13758521.392857144,13785598.86904762,13812676.345238095,13839753.821428573,91165.28571428571,97934.65476190476,104704.02380952382,111473.39285714287,118242.76190476191
9,Clay,0.4979674796747967,0.5020325203252032,17148,0.3278008298755187,0.6721991701244813,24122,0.203,0.797,27060,0.23069207622868604,0.769307923771314,33837,0.2865928659286593,0.7134071340713407,45485,0.3042071197411003,0.6957928802588996,47092,0.25940996948118006,0.7405900305188199,57559,0.23417085427135678,0.7658291457286432,81495,0.284561049445005,0.715438950554995,94723,0.268958543983822,0.7310414560161779,96805,0.2703549060542797,0.7296450939457202,107317,-0.23232554429572028,-0.002858134325203321,-0.28564620312448136,-0.292940536,-0.15144682477131394,-0.22392999079434073,-0.1427394658428997,-0.14889383308381993,-0.2268135590226432,-0.24998814117199503,-0.27839408921417796,-0.272910746936013,-0.28750129497198174,-0.3020630363790602,-0.31659608468105205,-0.3311005527319466,-0.3455765527212691,176598.59523809524,0.005442921377273677,0.006542504991229919,0.0064736067750385765,0.007864923306712485,0.008558892178092699,0.008879024144489846,0.009652740161362543,0.010709322610212589,0.01126029793671561,0.011399564601516888,0.011293629202698214,22571893.04761905,22616549.666666668,22661206.285714284,22705862.904761903,22750519.523809522,22795176.14285714,120777.82142857142,131941.97619047618,143106.13095238095,154270.2857142857,165434.44047619047
