,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
0,Apache,0.6560247167868177,0.34397528321318227,10327,0.39572192513368987,0.6042780748663101,10595,0.5630676084762866,0.43693239152371344,13032,0.6256358087487284,0.37436419125127157,14544,0.7098265895953757,0.2901734104046243,18258,0.7222222222222222,0.2777777777777778,18684,0.6861538461538462,0.3138461538461539,19456,0.6515609264853978,0.3484390735146022,24198,0.6429298067141404,0.3570701932858596,24355,0.6755102040816326,0.32448979591836735,25917,0.6746724890829694,0.3253275109170306,27661,0.17199203873296942,0.1551991027868177,-0.21772510786631016,0.06712707247628658,0.2434969077487284,0.19930373287237568,0.2752756366382222,0.27785004358884624,0.1905765131913978,0.10838061609714034,0.12815757088363267,0.12229465345568258,0.10527798903162022,0.08829492120281657,0.07134531756872775,0.054429046510009016,0.037545977182261936,38809.78571428571,29769.964285714286,31577.928571428572,33385.892857142855,35193.857142857145,37001.82142857143
1,Cochise,0.48343685300207045,0.5165631469979296,19883,0.3447136563876652,0.6552863436123348,22445,0.37108190091001014,0.6289180990899899,26355,0.42741116751269037,0.5725888324873096,28050,0.5099866844207723,0.49001331557922767,33150,0.489795918367347,0.5102040816326531,31923,0.42360379346680715,0.5763962065331928,33241,0.3977732793522267,0.6022267206477733,44595,0.39508700102354144,0.6049129989764586,49081,0.3858751279426817,0.6141248720573182,49201,0.38309549945115257,0.6169045005488475,50015,-0.11958495089884741,-0.017388760997929575,-0.2687333766123348,-0.12485863508998984,0.045272266512690396,-0.0005361723022276887,0.04284933278334696,0.01529999090180717,-0.06321113394177325,-0.13946218959345857,-0.1614775052553183,-0.1855670435665644,-0.21602235425632443,-0.24641753596186788,-0.2767528256449765,-0.3070284588693539,-0.3372446698117386,73477.96428571429,55809.03571428571,59342.821428571435,62876.607142857145,66410.39285714286,69944.17857142857
2,Coconino,0.46129707112970714,0.5387029288702929,21418,0.3488914819136523,0.6511085180863477,26199,0.3963227783452502,0.6036772216547497,29735,0.4681724845995893,0.5318275154004106,32140,0.5783289817232377,0.4216710182767624,42618,0.6004514672686231,0.39954853273137697,38522,0.5356371490280778,0.46436285097192226,40883,0.5647773279352226,0.4352226720647773,52391,0.5865580448065173,0.4134419551934827,54583,0.5798146240988672,0.42018537590113286,51962,0.605586592178771,0.394413407821229,59784,0.102906141828771,-0.03952854287029289,-0.2645555510863477,-0.09961775765474978,0.08603358359958935,0.06780612500023764,0.15350488168462306,0.1273333464630778,0.10379291464122264,0.052008854189517284,0.03246199090086721,0.07012399151743764,0.06557492783091234,0.06103484551979932,0.05650370918947445,0.05198148365414568,0.04746813393519034,80529.78571428571,62677.46428571429,66247.92857142857,69818.39285714286,73388.85714285714,76959.32142857143
3,Gila,0.5563598759048605,0.44364012409513964,11962,0.40601503759398494,0.5939849624060151,13399,0.4326241134751773,0.5673758865248226,15249,0.4760448521916412,0.5239551478083588,15299,0.5670816044260027,0.43291839557399725,18478,0.5725900116144018,0.4274099883855981,17411,0.4568421052631579,0.5431578947368422,17736,0.40242669362992917,0.5975733063700708,20877,0.3588175331294598,0.6411824668705403,22417,0.36363636363636365,0.6363636363636362,21595,0.330499468650372,0.6695005313496281,22515,-0.17218098169962798,0.05553426190486044,-0.2074319954060151,-0.06331642252482267,0.09390595119164125,0.05655874770300273,0.1256434260304018,0.0485383026981579,-0.058557719664070806,-0.17573165748754022,-0.18371626956163634,-0.25073141420111256,-0.2987538737362456,-0.3466815208512912,-0.39451472919165553,-0.44225387019827167,-0.48989931312505064,29069.95238095238,24054.714285714283,25057.761904761905,26060.809523809523,27063.85714285714,28066.904761904763
4,Graham,0.454356846473029,0.5456431535269709,6958,0.370136698212408,0.629863301787592,7961,0.3700707785642063,0.6299292214357937,8416,0.3995943204868154,0.6004056795131847,8652,0.44871794871794873,0.5512820512820513,9699,0.48291571753986334,0.5170842824601367,9296,0.35810113519091846,0.6418988648090815,9664,0.29879275653923537,0.7012072434607646,10720,0.293997965412004,0.7060020345879959,12069,0.308868501529052,0.691131498470948,11905,0.29175704989154017,0.70824295010846,12281,-0.2109234004584598,-0.046468767526971044,-0.243310334787592,-0.1258697574357937,0.01745541948681545,-0.061804908005051284,0.03596913195586332,-0.05020266737408152,-0.1621916567547646,-0.240551225204996,-0.238484131668948,-0.2966417146689082,-0.33699545241316287,-0.3772695183627661,-0.4174642264955537,-0.457579888936948,-0.49761681597456686,15716.416666666668,12989.75,13535.083333333334,14080.416666666668,14625.75,15171.083333333334
5,Greenlee,0.6289825282631037,0.37101747173689614,4247,0.5708245243128964,0.4291754756871036,3782,0.521608040201005,0.478391959798995,3785,0.5319148936170213,0.46808510638297873,3302,0.5387547649301144,0.4612452350698857,3993,0.6018626309662398,0.3981373690337602,3393,0.42901878914405006,0.5709812108559499,2960,0.3766364551863041,0.6233635448136958,3067,0.4050761421319797,0.5949238578680203,2920,0.45164609053497945,0.5483539094650206,2986,0.3661504424778761,0.6338495575221238,3300,-0.13653000787212388,0.12815691426310372,-0.0426225086871036,0.025667504201005054,0.1497759926170213,0.02823190820711441,0.1549160453822398,0.020714986579050076,-0.08434795810769585,-0.12947304848502034,-0.09570654266302053,-0.20283971540695234,-0.24506706545381007,-0.2872110445677549,-0.32927198130457214,-0.37125020228151584,-0.4131460321927989,2520.726190476191,2899.357142857143,2823.6309523809523,2747.904761904762,2672.1785714285716,2596.452380952381
6,La Paz,0.01,0.01,418841,0.01,0.01,486834,0.3525835866261398,0.6474164133738602,4313,0.40548780487804875,0.5945121951219512,4376,0.5306122448979592,0.4693877551020409,4961,0.508139534883721,0.491860465116279,4493,0.4106029106029106,0.5893970893970895,4483,0.3690596562184024,0.6309403437815975,5059,0.3548717948717949,0.6451282051282051,5577,0.3360655737704918,0.6639344262295082,5735,0.28251599147121537,0.7174840085287847,5951,-0.2201644588787846,-0.490825614,-0.603447033,-0.14335694937386018,0.023348903878048777,0.0200893881749592,0.06119294929972097,0.0022991080379106132,-0.09192475707559755,-0.17967739574520514,-0.2112870594275082,-0.2708317050926894,-0.31416920270231685,-0.3574211375759262,-0.40058784690688753,-0.4436696658992503,-0.4866669277833182,7196.857142857143,6082.392857142857,6305.285714285715,6528.178571428572,6751.071428571429,6973.964285714286
7,Maricopa,0.3586278586278586,0.6413721413721414,14640,0.27455357142857145,0.7254464285714286,20054,0.27346115035317864,0.7265388496468215,572273,0.3431174089068825,0.6568825910931174,681518,0.4423337856173677,0.5576662143826323,876832,0.485278080697928,0.514721919302072,817432,0.4464099895941728,0.5535900104058273,901699,0.42583249243188703,0.5741675075681131,1194961,0.44659206510681587,0.5534079348931842,1371370,0.44535240040858015,0.5546475995914197,1380959,0.4843243243243243,0.5156756756756757,1567834,-0.018356126025675656,-0.1421977553721414,-0.3388934615714286,-0.22247938564682135,-0.03902149209311745,-0.06818907110563233,0.03833149511392797,0.03810618702917279,-0.03515192086211294,-0.08795712551018414,-0.10200023278941983,-0.05967618809854969,-0.06528253144051988,-0.0708778059829065,-0.07646205534664574,-0.08203532289530102,-0.08759765173712708,2306924.0595238092,1671214.3571428573,1798356.2976190476,1925498.2380952379,2052640.1785714286,2179782.119047619
8,Mohave,0.46105919003115264,0.5389408099688473,14560,0.26152197213290457,0.7384780278670954,16882,0.3,0.7,25072,0.36585365853658536,0.6341463414634145,28286,0.49170437405731515,0.5082956259426847,40616,0.4801920768307323,0.5198079231692677,41533,0.4177215189873417,0.5822784810126582,44141,0.3579373104145601,0.6420626895854398,57915,0.33265097236438074,0.6673490276356192,67995,0.28454452405322417,0.7154554759467758,70328,0.23020063357972545,0.7697993664202746,79943,-0.27247981677027455,-0.039766423968847386,-0.35192506086709546,-0.195940536,-0.016285242463414618,-0.018818482665684866,0.03324549124673226,0.009417716422341738,-0.10304710287943986,-0.20189821825261928,-0.2628081091447758,-0.30850404618513494,-0.3536304272409154,-0.39866771370557785,-0.44361625669114346,-0.48847640523820246,-0.533248506332086,122077.13095238096,86165.28571428571,93347.65476190476,100530.02380952382,107712.39285714287,114894.76190476191
9,Navajo,0.5185567010309278,0.4814432989690722,155061,0.321656050955414,0.678343949044586,187057,0.4131313131313131,0.5868686868686869,19578,0.4650455927051672,0.5349544072948329,19677,0.5770234986945171,0.42297650130548303,24638,0.5826771653543307,0.41732283464566927,24938,0.4875259875259876,0.5124740124740125,25147,0.46161616161616165,0.5383838383838384,32404,0.4410569105691057,0.5589430894308943,35932,0.4598168870803662,0.5401831129196337,37465,0.44396082698585415,0.5560391730141457,40294,-0.05871962336414582,0.01773108703092774,-0.29179098204458603,-0.08280922286868686,0.08290669170516723,0.06650064197151706,0.13573057977033065,0.0792221849609876,0.0006317483221616738,-0.09349228004789434,-0.08753574611763376,-0.11927374592170281,-0.1490598474436382,-0.1787871412243902,-0.20845585901888342,-0.23806623121467396,-0.26761848684279244,58187.86904761904,43384.71428571429,46345.34523809524,49305.97619047618,52266.607142857145,55227.23809523809
