State,1976D,1976R,1980R,1980D,1984R,1984D,1988R,1988D,1992D,1992R,1996D,1996R,2000R,2000D,2004R,2004D,2008D,2008R,2012D,2012R,2016D,2016R
Alabama,659170.00,504070.00,654192.00,636730.00,872849.00,551899.00,815576.00,549506.00,690080.00,804283.00,662165.00,769044.00,941173.00,692611.00,1176394.00,693933.00,813479.00,1266546.00,795696.00,1255925.00,729547.00,1318255.00
Alaska,44058.00,71555.00,86112.00,41842.00,138377.00,62007.00,119251.00,72584.00,78294.00,102000.00,80380.00,122746.00,167398.00,79004.00,190889.00,111025.00,123594.00,193841.00,122640.00,164676.00,116454.00,163387.00
Arizona,295602.00,418642.00,529688.00,246843.00,681416.00,333854.00,702541.00,454029.00,543050.00,572086.00,653288.00,622073.00,781652.00,685341.00,1104294.00,893524.00,1034707.00,1230111.00,1025232.00,1233654.00,1161167.00,1252401.00
Arkansas,499614.00,268753.00,403164.00,398041.00,534774.00,338646.00,466578.00,349237.00,505823.00,337324.00,475171.00,325416.00,472940.00,422768.00,572898.00,469953.00,422310.00,638017.00,394409.00,647744.00,380494.00,684872.00
California,3742284.00,3882244.00,4524858.00,3083661.00,5467009.00,3922519.00,5054917.00,4702233.00,5121325.00,3630574.00,5119835.00,3828380.00,4567429.00,5861203.00,5509826.00,6745485.00,8274473.00,5011781.00,7854285.00,4839958.00,8753788.00,4483810.00
Colorado,460353.00,584367.00,652264.00,367973.00,821818.00,454974.00,728177.00,621453.00,629681.00,562850.00,671152.00,691848.00,883748.00,738227.00,1101255.00,1001732.00,1288633.00,1073629.00,1323101.00,1185243.00,1338870.00,1202484.00
Connecticut,647895.00,719261.00,677210.00,541732.00,890877.00,569597.00,750241.00,676584.00,682318.00,578313.00,735740.00,483109.00,561094.00,816015.00,693826.00,857488.00,997772.00,629428.00,905083.00,634892.00,897572.00,673215.00
Delaware,122596.00,109831.00,111252.00,105754.00,152190.00,101656.00,139639.00,108647.00,126054.00,102313.00,140355.00,99062.00,137288.00,180068.00,171660.00,200152.00,255459.00,152374.00,242584.00,165484.00,235603.00,185127.00
D.C.,137818.00,27873.00,23313.00,130231.00,29009.00,180408.00,27590.00,159407.00,192619.00,20698.00,158220.00,17339.00,18073.00,171923.00,21256.00,202970.00,245800.00,17367.00,267070.00,21381.00,282830.00,12723.00
Florida,1636000.00,1469531.00,2046951.00,1419475.00,2730350.00,1448816.00,2618885.00,1656701.00,2072698.00,2173310.00,2546870.00,2244536.00,2912790.00,2912253.00,3964522.00,3583544.00,4282074.00,4045624.00,4237756.00,4163447.00,4504975.00,4617886.00
Georgia,979409.00,483743.00,654168.00,890733.00,1068722.00,706628.00,1081331.00,714792.00,1008966.00,995252.00,1053849.00,1080843.00,1419720.00,1116230.00,1914254.00,1366149.00,1844123.00,2048759.00,1773827.00,2078688.00,1877963.00,2089104.00
Hawaii,147375.00,140003.00,130112.00,135879.00,185050.00,147154.00,158625.00,192364.00,179310.00,136822.00,205012.00,113943.00,137845.00,205286.00,194191.00,231708.00,325871.00,120566.00,306658.00,121015.00,266891.00,128847.00
Idaho,126549.00,204151.00,290699.00,110192.00,297523.00,108510.00,253881.00,147272.00,137013.00,202645.00,165443.00,256595.00,336937.00,138637.00,409235.00,181098.00,236440.00,403012.00,212787.00,420911.00,189765.00,409055.00
Illinois,2271295.00,2364269.00,2358049.00,1981413.00,2707103.00,2086499.00,2310939.00,2215940.00,2453350.00,1734096.00,2341744.00,1587021.00,2019421.00,2589026.00,2345946.00,2891550.00,3419348.00,2031179.00,3019512.00,2135216.00,3090729.00,2146015.00
Indiana,1014714.00,1183958.00,1255656.00,844197.00,1377230.00,841481.00,1297763.00,860643.00,848420.00,989375.00,887424.00,1006693.00,1245836.00,901980.00,1479438.00,969011.00,1374039.00,1345648.00,1152887.00,1420543.00,1033126.00,1557286.00
Iowa,619931.00,632863.00,676026.00,508672.00,703088.00,605620.00,545355.00,670557.00,586353.00,504891.00,620258.00,492644.00,634373.00,638517.00,751957.00,741898.00,828940.00,682379.00,822544.00,730617.00,653669.00,800983.00
Kansas,430421.00,502752.00,566812.00,326150.00,677296.00,333149.00,554049.00,422636.00,390434.00,449951.00,387659.00,583245.00,622332.00,399276.00,736456.00,434993.00,514765.00,699655.00,440726.00,692634.00,427005.00,671018.00
Kentucky,615717.00,531852.00,635274.00,616417.00,822782.00,539589.00,734281.00,580368.00,665104.00,617178.00,636614.00,623283.00,872492.00,638898.00,1069439.00,712733.00,751985.00,1048462.00,679370.00,1087190.00,628854.00,1202971.00
Louisiana,661365.00,587446.00,792853.00,708453.00,1037299.00,651586.00,883702.00,734281.00,815971.00,733386.00,927837.00,712586.00,927871.00,792344.00,1102169.00,820299.00,782989.00,1148275.00,809141.00,1152262.00,780154.00,1178638.00
Maine,232279.00,236320.00,238522.00,220974.00,336500.00,214515.00,307131.00,243569.00,263420.00,206504.00,312788.00,186378.00,286616.00,319951.00,330201.00,396842.00,421923.00,295273.00,401306.00,292276.00,357735.00,335593.00
Maryland,759612.00,672661.00,680606.00,726161.00,879918.00,787935.00,876167.00,826304.00,988571.00,707094.00,966207.00,681530.00,813797.00,1145782.00,1024703.00,1334493.00,1629467.00,959862.00,1677844.00,971869.00,1677928.00,943169.00
Massachusetts,1429475.00,1030276.00,1057631.00,1053802.00,1310936.00,1239606.00,1194644.00,1401406.00,1318662.00,805049.00,1571763.00,718107.00,878502.00,1616487.00,1071109.00,1803800.00,1904097.00,1108854.00,1921290.00,1188314.00,1995196.00,1090893.00
Michigan,1696714.00,1893742.00,1915225.00,1661532.00,2251571.00,1529638.00,1965486.00,1675783.00,1871182.00,1554940.00,1989653.00,1481212.00,1953139.00,2170418.00,2313746.00,2479183.00,2872579.00,2048639.00,2564569.00,2115256.00,2268839.00,2279543.00
Minnesota,1070440.00,819395.00,873241.00,954174.00,1032603.00,1036364.00,962337.00,1109471.00,1020997.00,747841.00,1120438.00,766476.00,1109659.00,1168266.00,1346695.00,1445014.00,1573354.00,1275409.00,1546167.00,1320225.00,1367716.00,1322951.00
Mississippi,381309.00,366846.00,441089.00,429281.00,581477.00,352192.00,557890.00,363921.00,400258.00,487793.00,394022.00,439838.00,572844.00,404614.00,684981.00,458094.00,554662.00,724597.00,562949.00,710746.00,485131.00,700714.00
Missouri,998387.00,927443.00,1074181.00,931182.00,1274188.00,848583.00,1084953.00,1001619.00,1053873.00,811159.00,1025935.00,890016.00,1189924.00,1111138.00,1455713.00,1259171.00,1441911.00,1445814.00,1223796.00,1482440.00,1071068.00,1594511.00
Montana,149259.00,173703.00,206814.00,118032.00,232450.00,146742.00,190412.00,168936.00,154507.00,144207.00,167922.00,179652.00,240178.00,137126.00,266063.00,173710.00,231667.00,242763.00,201839.00,267928.00,177709.00,279240.00
Nebraska,233692.00,359705.00,419937.00,166851.00,460054.00,187866.00,398447.00,259646.00,217344.00,344346.00,236761.00,363467.00,433862.00,231780.00,512814.00,254328.00,333319.00,452979.00,302081.00,475064.00,284494.00,495961.00
Nevada,92479.00,101273.00,155017.00,66666.00,188770.00,91655.00,206040.00,132738.00,189148.00,175828.00,203974.00,199244.00,301575.00,279978.00,418690.00,397190.00,533736.00,412827.00,531373.00,463567.00,539260.00,512058.00
New Hampshire,147635.00,185935.00,221705.00,108864.00,267051.00,120395.00,281537.00,163696.00,209040.00,202484.00,246214.00,196532.00,273559.00,266348.00,331237.00,340511.00,384826.00,316534.00,369561.00,329918.00,348526.00,345790.00
New Jersey,1444653.00,1509688.00,1546557.00,1147364.00,1933630.00,1261323.00,1743192.00,1320352.00,1436206.00,1356865.00,1652329.00,1103078.00,1284173.00,1788850.00,1670003.00,1911430.00,2215422.00,1613207.00,2125101.00,1477568.00,2148278.00,1601933.00
New Mexico,201148.00,211419.00,250779.00,167826.00,307101.00,201769.00,270341.00,244497.00,261617.00,212824.00,273495.00,232751.00,286417.00,286783.00,376930.00,370942.00,472422.00,346832.00,415335.00,335788.00,385234.00,319667.00
New York,3389558.00,3100791.00,2893831.00,2728372.00,3664763.00,3119609.00,3081871.00,3347882.00,3444450.00,2346649.00,3756177.00,1933492.00,2403374.00,4107697.00,2962567.00,4314280.00,4804945.00,2752771.00,4485741.00,2490431.00,4556124.00,2819534.00
North Carolina,927365.00,741960.00,915018.00,875635.00,1346481.00,824287.00,1237258.00,890167.00,1114042.00,1134661.00,1107849.00,1225938.00,1631163.00,1257692.00,1961166.00,1525849.00,2142651.00,2128474.00,2178391.00,2270395.00,2189316.00,2362631.00
North Dakota,136078.00,153470.00,193695.00,79189.00,200336.00,104429.00,166559.00,127739.00,99168.00,136244.00,106905.00,125050.00,174852.00,95284.00,196651.00,111052.00,141278.00,168601.00,124827.00,188163.00,93758.00,216794.00
Ohio,2011621.00,2000505.00,2206545.00,1752414.00,2678560.00,1825440.00,2416549.00,1939629.00,1984942.00,1894310.00,2148222.00,1859883.00,2351209.00,2186190.00,2859768.00,2741167.00,2940044.00,2677820.00,2827709.00,2661437.00,2394164.00,2841005.00
Oklahoma,532442.00,545708.00,695570.00,402026.00,861530.00,385080.00,678367.00,483423.00,473066.00,592929.00,488105.00,582315.00,744337.00,474276.00,959792.00,503966.00,502496.00,960165.00,443547.00,891325.00,420375.00,949136.00
Oregon,490407.00,492120.00,571044.00,456890.00,685700.00,536479.00,560126.00,616206.00,621314.00,475757.00,649641.00,538152.00,713577.00,720342.00,866831.00,943163.00,1037291.00,738475.00,970488.00,754175.00,1002106.00,782403.00
Pennsylvania,2328677.00,2205604.00,2261872.00,1937540.00,2584323.00,2228131.00,2300087.00,2194944.00,2239164.00,1791841.00,2215819.00,1801169.00,2281127.00,2485967.00,2793847.00,2938095.00,3276363.00,2655885.00,2990274.00,2680434.00,2926441.00,2970733.00
Rhode Island,227636.00,181249.00,154793.00,198342.00,212080.00,197106.00,177761.00,225123.00,213299.00,131601.00,233050.00,104683.00,130555.00,249508.00,169046.00,259765.00,296571.00,165391.00,279677.00,157204.00,252525.00,180543.00
South Carolina,450825.00,346140.00,441207.00,427560.00,615539.00,344470.00,606443.00,370554.00,479514.00,577507.00,504051.00,573458.00,785937.00,565561.00,937974.00,661699.00,862449.00,1034896.00,865941.00,1071645.00,855373.00,1155389.00
South Dakota,147068.00,151505.00,198343.00,103855.00,200267.00,116113.00,165415.00,145560.00,124888.00,136718.00,139333.00,150543.00,190700.00,118804.00,232584.00,149244.00,170924.00,203054.00,145039.00,210610.00,117458.00,227721.00
Tennessee,825879.00,633969.00,787761.00,783051.00,990212.00,711714.00,947233.00,679794.00,933521.00,841300.00,909146.00,863530.00,1061949.00,981720.00,1384375.00,1036477.00,1087437.00,1479178.00,960709.00,1462330.00,870695.00,1522925.00
Texas,2082319.00,1953300.00,2510705.00,1881147.00,3433428.00,1949276.00,3036829.00,2352748.00,2281815.00,2496071.00,2459683.00,2736167.00,3799639.00,2433746.00,4526917.00,2832704.00,3528633.00,4479328.00,3308124.00,4569843.00,3877868.00,4685047.00
Utah,182110.00,337908.00,439687.00,124266.00,469105.00,155369.00,428442.00,207343.00,183429.00,322632.00,221633.00,361911.00,515096.00,203053.00,663742.00,241199.00,327670.00,596030.00,251813.00,740600.00,310676.00,515231.00
Vermont,81044.00,102085.00,94598.00,81891.00,135865.00,95730.00,124331.00,115775.00,133592.00,88122.00,137894.00,80352.00,119775.00,149022.00,121180.00,184067.00,219262.00,98974.00,199239.00,92698.00,178573.00,95369.00
Virginia,813896.00,836554.00,989609.00,752174.00,1337078.00,796250.00,1309162.00,859799.00,1038650.00,1150517.00,1091060.00,1138350.00,1437490.00,1217290.00,1716959.00,1454742.00,1959532.00,1725005.00,1971820.00,1822522.00,1981473.00,1769443.00
