,Unnamed: 0,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
0,0,Albany,0.5070564516129032,0.4929435483870968,142409,0.5870307167235495,0.4129692832764504,144364,0.5030120481927711,0.4969879518072289,150592,0.5923309788092836,0.4076690211907165,147461,0.6200716845878136,0.3799283154121864,155363,0.6838565022421524,0.3161434977578475,140991,0.6428571428571428,0.35714285714285715,142033,0.6193877551020408,0.3806122448979592,147199,0.6496945010183299,0.3503054989816701,147266,0.6601842374616171,0.3398157625383828,135767,0.6346153846153847,0.3653846153846154,139818,0.1234824758173847,-0.0034664051100967708,0.14008413113954943,0.09470824562777114,0.13134656551528368,0.08552249397081357,0.13650386904415246,0.14017669250714282,0.1318276226840408,0.11280602589732991,0.1405456149416171,0.13279528761626924,0.13445510354655443,0.13611164244424323,0.13776491722376338,0.13941494072335026,0.14106172570564546,130068.73809523809,137657.42857142855,136139.69047619047,134621.95238095237,133104.2142857143,131586.47619047618
1,1,Allegany,0.3430583501006036,0.6569416498993963,18010,0.3603896103896103,0.6396103896103896,17640,0.24549098196392785,0.7545090180360722,19304,0.3212487411883182,0.6787512588116817,17626,0.3504736129905277,0.6495263870094722,18719,0.4495192307692309,0.5504807692307693,17703,0.35646687697160884,0.6435331230283913,18690,0.3479591836734694,0.6520408163265305,19270,0.3891726251276813,0.6108273748723186,18406,0.3712820512820513,0.6287179487179487,16953,0.280343716433942,0.7196562835660579,18692,-0.23078919236405798,-0.16746450662239643,-0.08655697519438971,-0.16281282060107213,-0.13973567210568177,-0.1840755776264723,-0.09783340242876909,-0.14621357337839114,-0.1396009487445306,-0.14771584999331872,-0.14835657123794876,-0.1863420523262711,-0.19341763160646153,-0.2004792413232046,-0.2075269365290353,-0.21456077195167467,-0.2215808019966019,18406.77380952381,18328.142857142855,18343.869047619046,18359.595238095237,18375.321428571428,18391.04761904762
2,2,Bronx,0.7115577889447235,0.2884422110552764,337391,0.675818373812038,0.324181626187962,282847,0.6710130391173521,0.3289869608826479,333683,0.7416413373860182,0.25835866261398177,298081,0.7807203389830508,0.21927966101694912,305460,0.8909657320872274,0.10903426791277257,289350,0.8797145769622834,0.12028542303771662,308063,0.8338368580060422,0.1661631419939577,342979,0.8905622489959839,0.10943775100401608,381322,0.9185929648241208,0.0814070351758794,370938,0.903061224489796,0.09693877551020408,399522,0.391928315691796,0.20103493222172353,0.228871788228038,0.2627092365523521,0.28065692409201826,0.2461711483660508,0.3436130988892274,0.3770341266122834,0.34627672558804223,0.3536737738749839,0.39895434230412075,0.42467222750765643,0.44285871973271185,0.46100930573061305,0.4791241270038853,0.49720332422019453,0.5152470372189697,489451.7023809523,409195.21428571426,425246.5119047619,441297.80952380947,457349.1071428571,473400.40476190473
3,3,Broome,0.4416498993963782,0.5583501006036217,90658,0.4853801169590643,0.5146198830409356,89280,0.3931795386158475,0.6068204613841525,96089,0.5025176233635448,0.4974823766364552,96365,0.5562659846547314,0.4437340153452686,99846,0.5864833906071019,0.4135166093928979,86814,0.5513227513227513,0.4486772486772487,87084,0.5153374233128835,0.4846625766871165,91890,0.5407331975560081,0.4592668024439919,88837,0.5276639344262295,0.4723360655737706,81565,0.4892703862660944,0.5107296137339056,86072,-0.02186252253190557,-0.0688729573266218,0.03843353137506428,-0.015124263949152505,0.0415332100695448,0.021716794037731413,0.03913075740910188,0.04864230097275135,0.027777290894883455,0.0038447224350081077,0.00802531190622946,-0.012978306887063695,-0.020501427619706192,-0.028009695192174888,-0.03550316813915799,-0.04298190464998797,-0.05044596257138778,72552.94047619047,81635.14285714286,79818.70238095238,78002.26190476191,76185.82142857143,74369.38095238095
4,4,Cattaraugus,0.41407035175879403,0.5859296482412061,33422,0.4284164859002169,0.5715835140997831,32709,0.2968906720160482,0.7031093279839519,34468,0.3874873864783048,0.6125126135216953,32428,0.4212827988338193,0.5787172011661809,35092,0.5012165450121655,0.4987834549878346,31643,0.4293193717277487,0.5706806282722513,33733,0.4024514811031665,0.5975485188968335,34266,0.4461382113821138,0.5538617886178862,32617,0.43279022403258655,0.5672097759674135,29767,0.3255069370330843,0.6744930629669157,31161,-0.1856259717649157,-0.09645250496420599,-0.018530099683783108,-0.1114131305489518,-0.0734970268156952,-0.11326639178318071,-0.04613608818583448,-0.07336107862225127,-0.08510865131483353,-0.09075026373888623,-0.08684839848741349,-0.13686751652154072,-0.14625910191657,-0.15563214517634805,-0.16498671937340248,-0.17432289714916038,-0.18364075071730213,28964.916666666664,30872.0,30490.583333333332,30109.166666666664,29727.75,29346.333333333332
5,5,Cayuga,0.4028197381671702,0.5971802618328298,33343,0.39447513812154705,0.605524861878453,32756,0.3624497991967872,0.6375502008032129,33779,0.4702320887991928,0.5297679112008074,32285,0.5205673758865249,0.4794326241134752,35671,0.5886524822695035,0.4113475177304965,31894,0.5318471337579618,0.4681528662420382,33978,0.4969325153374233,0.5030674846625767,36052,0.5433231396534148,0.4566768603465851,34022,0.558282208588957,0.44171779141104295,31161,0.4377682403433477,0.5622317596566524,33172,-0.07336466845465228,-0.10770311855582981,-0.05247144746245297,-0.04585400336821277,0.009247675505192843,-0.013981814730475106,0.041299849071503525,0.029166683407961802,0.009372382919423272,0.006434664532414813,0.038643586068957014,-0.01753598959423286,-0.022699033988576645,-0.027851884803940408,-0.03299458221210827,-0.038127166147852165,-0.04324967631081478,32637.84523809524,33107.07142857143,33013.22619047619,32919.380952380954,32825.53571428572,32731.690476190477
6,6,Chautauqua,0.4487951807228916,0.5512048192771084,61436,0.4317425083240843,0.5682574916759158,58756,0.3671013039117352,0.6328986960882648,62724,0.4491440080563947,0.5508559919436052,57867,0.5164520743919885,0.4835479256080114,62789,0.5578947368421053,0.4421052631578947,56290,0.4816753926701571,0.518324607329843,58722,0.45658835546476,0.54341164453524,60944,0.5045871559633028,0.4954128440366973,58802,0.4602040816326531,0.5397959183673471,52852,0.37647058823529417,0.6235294117647059,54234,-0.13466232056270583,-0.06172767600010842,-0.015204077259915738,-0.04120249865326481,-0.011840405237605267,-0.018097116225011534,0.01054210364410535,-0.021005057679842898,-0.030971776953239993,-0.032301319157697184,-0.059434540887346954,-0.10147424909656877,-0.1156583081503868,-0.12981436312072248,-0.14394252436861876,-0.1580429016039986,-0.17211560389081626,50420.82142857143,54311.17857142857,53533.107142857145,52755.03571428571,51976.96428571428,51198.892857142855
7,7,Chemung,0.4548192771084337,0.5451807228915663,38026,0.425,0.575,37209,0.37011033099297896,0.6298896690070211,39647,0.4325955734406439,0.5674044265593561,37139,0.4843161856963614,0.5156838143036386,39135,0.5429553264604811,0.4570446735395189,35813,0.48125,0.5187499999999999,37710,0.444557477110885,0.5554425228891149,39075,0.4939271255060729,0.5060728744939271,38695,0.4883011190233978,0.5116988809766022,35010,0.4066168623265742,0.5933831376734259,36119,-0.10451604647142582,-0.055703579614566345,-0.021946585584000033,-0.03819347157202102,-0.02838883985335605,-0.05023300492063859,-0.0043973067375189245,-0.021430450349999963,-0.043002655307115,-0.04296134961492715,-0.03133750349660225,-0.07146257211636353,-0.07823511330635924,-0.0849942832316053,-0.09174013458680363,-0.09847271975574401,-0.10519209081380154,35329.107142857145,36385.89285714286,36174.53571428572,35963.17857142857,35751.82142857143,35540.46428571429
8,8,Chenango,0.3728643216080402,0.6271356783919598,19837,0.39932126696832576,0.6006787330316742,19592,0.30792377131394183,0.6920762286860581,20648,0.40625,0.59375,19902,0.4972972972972973,0.5027027027027028,21787,0.5454545454545455,0.4545454545454546,19279,0.4761904761904762,0.5238095238095238,20250,0.4447852760736196,0.5552147239263804,21341,0.4938775510204082,0.5061224489795918,20847,0.4841025641025642,0.5158974358974359,19314,0.3624595469255664,0.6375404530744336,20160,-0.14867336187243357,-0.13765853511495985,-0.04762531861567426,-0.10038003125105815,-0.05473441329399997,-0.03725189331970269,-0.0018980877434544574,-0.026489974159523755,-0.042774856344380385,-0.04301092410059182,-0.035536058417435845,-0.09079499151205539,-0.1000663703385456,-0.10931944435780849,-0.11855428570710558,-0.12777096609806904,-0.13696955682011946,19821.214285714286,20104.785714285714,20048.071428571428,19991.357142857145,19934.64285714286,19877.928571428572
9,9,Clinton,0.4281407035175879,0.5718592964824121,27103,0.4672489082969432,0.5327510917030568,26890,0.35606820461384153,0.6439317953861585,30443,0.44668008048289737,0.5533199195171026,28563,0.4890776699029126,0.5109223300970873,31988,0.6115606936416185,0.3884393063583815,29060,0.5397667020148462,0.4602332979851538,30559,0.5348360655737705,0.4651639344262295,33736,0.6164801627670397,0.3835198372329603,33337,0.6303462321792261,0.369653767820774,30656,0.5103373231773667,0.4896626768226333,32105,-0.0007955856206333101,-0.08238215320541215,0.020302322712943188,-0.05223559795115845,-0.014304332811102605,-0.04547152071408739,0.06420806044361849,0.03708625166484625,0.0472759331557705,0.07959168764603963,0.1107076096592261,0.08463427050460837,0.0956381692292041,0.10662034257198627,0.11758087615033475,0.1285198550764619,0.13943736396146278,35111.79761904762,33079.53571428572,33485.9880952381,33892.44047619047,34298.892857142855,34705.34523809524
