,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
0,Alameda,0.603125,0.39687500000000003,407681,0.5596755504055619,0.440324449594438,417617,0.5947315096251267,0.40526849037487334,480874,0.6558704453441295,0.3441295546558705,478997,0.7535885167464116,0.24641148325358855,530145,0.7401574803149605,0.25984251968503935,462044,0.7422459893048129,0.25775401069518716,494336,0.7634517766497462,0.23654822335025383,562090,0.8034800409416581,0.19651995905834185,622913,0.8130165289256198,0.18698347107438015,596893,0.8434125269978402,0.15658747300215983,659543,0.3407320766478402,0.10229938599999999,-0.05377148259443809,0.09879097362512668,0.27373154434412955,0.24306566002341157,0.2932108947309605,0.3339421867398129,0.3024673633557462,0.26893085032465813,0.26566389572761984,0.31572958719821287,0.3213613449783246,0.3269819837822361,0.3325915474286276,0.3381900794776378,0.34377762323293837,793789.9880952381,665937.4285714285,691507.9404761905,717078.4523809524,742648.9642857143,768219.4761904762
1,Alpine,0.45680345572354214,0.5431965442764579,447,0.34404761904761905,0.655952380952381,461,0.42319430315361134,0.5768056968463886,466,0.42945417095777555,0.5705458290422245,552,0.492063492063492,0.5079365079365079,631,0.49411764705882355,0.5058823529411764,614,0.4849785407725322,0.5150214592274678,586,0.5450819672131149,0.45491803278688525,701,0.6261585993820803,0.37384140061791965,694,0.6223849372384938,0.3776150627615063,654,0.6065573770491803,0.39344262295081966,602,0.10387692669918036,-0.04402215827645789,-0.269399413952381,-0.07274623284638865,0.047315269957775574,-0.018459364659508037,0.04717106147482353,0.07667473820753223,0.08409755391911489,0.09160940876508028,0.07503230404049377,0.11703994154885322,0.1288778902103047,0.14069246679601832,0.15248376341279624,0.16425187162401045,0.17599688245392286,721.9880952380952,673.1785714285714,682.9404761904761,692.702380952381,702.4642857142857,712.2261904761905
2,Amador,0.5217842323651452,0.47821576763485474,8018,0.3712035995500562,0.6287964004499437,9670,0.37499999999999994,0.625,11363,0.42959183673469387,0.5704081632653061,12338,0.490674318507891,0.509325681492109,15434,0.46083995459704885,0.5391600454029513,14452,0.40252897787144365,0.5974710221285564,15464,0.3708206686930091,0.6291793313069909,17891,0.4254881808838643,0.5745118191161357,18879,0.39917269906928643,0.6008273009307136,17693,0.3638344226579521,0.6361655773420479,17963,-0.1388460276920479,0.02095861836514512,-0.2422434334499438,-0.12094053600000004,0.04745293573469389,-0.019848538215109013,0.013893369013048829,-0.005774824693556335,-0.09016374460099086,-0.1090610097331357,-0.14817993412871355,-0.1844025620859071,-0.21267811835487294,-0.2408978492049414,-0.26906197463802073,-0.2971707133580139,-0.32522428278107895,23771.285714285714,19820.214285714283,20610.428571428572,21400.642857142855,22190.85714285714,22981.071428571428
3,Butte,0.45985401459854014,0.5401459854014597,54854,0.3382857142857143,0.6617142857142857,66012,0.35873983739837395,0.641260162601626,71964,0.4308943089430894,0.5691056910569106,71631,0.506631299734748,0.493368700265252,85014,0.44,0.56,79550,0.4074074074074074,0.5925925925925926,83721,0.45092024539877296,0.5490797546012269,96157,0.5123711340206186,0.48762886597938143,98707,0.48956158663883087,0.5104384133611691,91021,0.4798657718120805,0.5201342281879194,97002,-0.022814678537919464,-0.04097159940145989,-0.27516131871428573,-0.13720069860162604,0.04875540794308941,-0.003891556988252054,-0.00694658558400002,-0.0008963951575925999,-0.010064167895227016,-0.02217805659638139,-0.05779104655916911,-0.053574879295524624,-0.06330933241011394,-0.07302456645373212,-0.08272065716663946,-0.0923976798422359,-0.1020557093306067,119238.71428571429,102718.53571428571,106022.57142857143,109326.60714285714,112630.64285714287,115934.67857142858
4,Calaveras,0.4938144329896907,0.5061855670103093,7528,0.3367117117117117,0.6632882882882883,10275,0.3485309017223911,0.651469098277609,11877,0.4260958205912334,0.5739041794087666,13574,0.499290780141844,0.500709219858156,16991,0.44521337946943484,0.5547866205305652,17206,0.4008528784648187,0.5991471215351812,18876,0.37857142857142856,0.6214285714285714,22343,0.4332988624612203,0.5667011375387798,23421,0.41225337487019725,0.5877466251298027,21862,0.37061403508771934,0.6293859649122807,23531,-0.13206641526228063,-0.007011181010309342,-0.2767353212882883,-0.1474096342776089,0.043956919591233434,-0.011232076581155992,-0.0017332061145651778,-0.007450924100181278,-0.08241298472257141,-0.10125032815577972,-0.13509925832780273,-0.17221176046540165,-0.19843743024286198,-0.22461132176397314,-0.2507336390812185,-0.276804585043152,-0.30282436130396206,32863.32142857143,25948.678571428572,27331.607142857145,28714.535714285714,30097.464285714283,31480.392857142855
5,Colusa,0.4616956077630235,0.5383043922369765,5182,0.35627081021087686,0.6437291897891232,4995,0.3370558375634518,0.6629441624365482,5188,0.39655172413793105,0.603448275862069,5172,0.41002570694087404,0.589974293059126,5635,0.40264026402640263,0.5973597359735973,5612,0.3246618106139438,0.6753381893860562,5590,0.3198380566801619,0.680161943319838,6166,0.40736949846468784,0.5926305015353123,6448,0.3912155260469867,0.6087844739530133,6045,0.42826321467098166,0.5717367853290183,6697,-0.07441723567901831,-0.039130006236976544,-0.25717622278912317,-0.15888469843654818,0.014412823137931075,-0.10049714978212598,-0.044306321557597395,-0.0836419919510562,-0.14114635661383806,-0.12717969215231217,-0.1561371071510133,-0.1536164903069377,-0.16785560888524742,-0.18206661467413454,-0.19624961846304245,-0.21040473038775076,-0.22453205993558356,7708.547619047618,6767.535714285714,6955.738095238095,7143.940476190476,7332.142857142857,7520.345238095238
6,Contra Costa,0.4943589743589744,0.5056410256410256,256534,0.42677345537757433,0.5732265446224256,287545,0.45005045408678107,0.549949545913219,316318,0.5161616161616162,0.48383838383838385,331511,0.6330845771144278,0.3669154228855721,382823,0.6127612761276128,0.3872387238723872,352602,0.6131386861313868,0.3868613138686131,381478,0.6305668016194332,0.3694331983805668,413028,0.6922290388548057,0.30777096114519426,453244,0.6803699897225076,0.31963001027749227,439145,0.7336956521739131,0.266304347826087,473014,0.2310152018239131,-0.006466639641025618,-0.1866735776224257,-0.045890081913218916,0.13402271516161618,0.12256172039142776,0.16581469054361275,0.2048348835663868,0.16958238832543326,0.15767984823780568,0.13301735652450764,0.2006772048704697,0.2085936672422548,0.21649449986572833,0.22437976433601747,0.2322495218848566,0.24010383338343644,584942.130952381,489370.28571428574,508484.6547619048,527599.0238095238,546713.3928571428,565827.7619047619
7,Del Norte,0.5291060291060291,0.4708939708939709,5478,0.36813186813186816,0.6318681318681318,6987,0.40286298568507156,0.5971370143149284,6841,0.49129989764585463,0.5087001023541453,7468,0.541029207232267,0.45897079276773295,9353,0.4987864077669903,0.5012135922330097,8889,0.4078091106290673,0.5921908893709328,8294,0.42057026476578413,0.5794297352342159,9421,0.4656410256410256,0.5343589743589744,9531,0.4509394572025052,0.5490605427974947,8770,0.40465631929046564,0.5953436807095344,9558,-0.09802413105953434,0.028280415106029078,-0.24531516486813187,-0.09307755031492843,0.10916099664585466,0.030506350509266977,0.05183982218299027,-0.0004946919359327118,-0.04041414852821584,-0.0689081649759744,-0.09641317599549476,-0.14691489886274667,-0.17623570408521516,-0.20549862021725573,-0.23470387539347826,-0.2638516964024973,-0.2929423086975902,10580.690476190477,9701.642857142857,9877.452380952382,10053.261904761905,10229.071428571428,10404.880952380952
8,El Dorado,0.5056994818652849,0.49430051813471504,26154,0.3359908883826879,0.664009111617312,36449,0.34178498985801214,0.6582150101419878,42478,0.39735772357723576,0.6026422764227641,50603,0.44813278008298757,0.5518672199170125,64887,0.4120317820658343,0.5879682179341658,63196,0.38372093023255816,0.6162790697674418,72136,0.3786802030456852,0.6213197969543147,86364,0.4460431654676259,0.5539568345323741,93309,0.4080578512396694,0.5919421487603306,88998,0.4250832408435072,0.5749167591564928,95149,-0.07759720950649279,0.0048738678652848755,-0.2774561446173121,-0.15415554614198784,0.01521882257723578,-0.06239007664001245,-0.03491480351816573,-0.02458287233244183,-0.08230421024831475,-0.08850602514937411,-0.13929478195833056,-0.12871272842521364,-0.14348473975053366,-0.15822758617765942,-0.17294138264227854,-0.1876262434019651,-0.20228228204152998,137556.05952380953,105595.10714285713,111987.29761904762,118379.48809523809,124771.67857142857,131163.86904761905
9,Fresno,0.5081799591002044,0.4918200408997955,150805,0.4415300546448087,0.5584699453551912,161386,0.45151515151515154,0.5484848484848485,192936,0.4944275582573455,0.5055724417426546,189870,0.5090470446320868,0.49095295536791317,219161,0.4886731391585761,0.511326860841424,208393,0.4474505723204995,0.5525494276795005,220835,0.4207870837537841,0.579212916246216,247463,0.5107252298263534,0.4892747701736465,273452,0.5092213114754099,0.49077868852459017,259697,0.5324675324675324,0.4675324675324675,287062,0.02978708211753245,0.007354345100204385,-0.17191697835519132,-0.04442538448484845,0.11228865725734555,-0.0014758120909131867,0.04172655357457605,0.03914676975549952,-0.040197329540215876,-0.023823960790646637,-0.03813132172259004,-0.04053923851583363,-0.05278097041660601,-0.06499853303827052,-0.07719202162932959,-0.08936153087631737,-0.10150715490826201,363192.52380952385,297428.89285714284,310581.61904761905,323734.34523809527,336887.0714285715,350039.79761904763
