,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
0,Adams,0.395748987854251,0.604251012145749,30485,0.3480083857442348,0.6519916142557652,31917,0.33801404212637914,0.6619859578736208,30649,0.464859437751004,0.535140562248996,29710,0.465,0.5349999999999999,31579,0.4503386004514673,0.5496613995485328,28411,0.41284403669724773,0.5871559633027523,30109,0.3353413654618474,0.6646586345381527,31477,0.3870314083080041,0.6129685916919959,30902,0.3207354443309499,0.67926455566905,30697,0.2523860021208908,0.7476139978791092,32310,-0.2502944482291092,-0.10507662614574903,-0.2654386472557652,-0.15792649387362084,0.08272053675100405,-0.045522856722999994,0.0033920148674672634,0.004540234132247745,-0.12564304783215258,-0.14751778230899593,-0.22661718886705007,-0.29201107668083637,-0.3370212164282407,-0.38194249108374834,-0.42677525085505863,-0.4715198438835557,-0.5161766162608785,33208.833333333336,31861.75,32131.166666666668,32400.583333333332,32670.0,32939.416666666664
1,Alexander,0.5803842264914054,0.4196157735085945,5658,0.5244399185336048,0.4755600814663951,5678,0.5271084337349398,0.4728915662650603,5467,0.5797392176529589,0.4202607823470412,4663,0.6636568848758465,0.33634311512415355,4362,0.6941431670281996,0.30585683297180044,4304,0.5973496432212029,0.4026503567787972,4022,0.5241448692152917,0.4758551307847082,3873,0.5640243902439024,0.4359756097560975,3947,0.5689655172413793,0.4310344827586207,3501,0.45807770961145194,0.5419222903885481,2820,-0.04460274073854803,0.07955861249140539,-0.0890071144663952,0.031167897734939776,0.1976003166529589,0.1531340281528465,0.24719658144419954,0.1890458406562029,0.06316045592129171,0.02947519962690237,0.021612884043379355,-0.06006495100140796,-0.09696229393099998,-0.1337867891469955,-0.17053872373432455,-0.20721838308404017,-0.24382605090696075,1852.6071428571431,2949.3928571428573,2730.0357142857147,2510.6785714285716,2291.321428571429,2071.964285714286
2,Bond,0.4974721941354904,0.5025278058645096,7478,0.39166666666666666,0.6083333333333333,7532,0.40320962888666,0.59679037111334,7131,0.4894472361809046,0.5105527638190954,7105,0.5577395577395576,0.44226044226044225,7548,0.5156599552572707,0.48434004474272924,6970,0.4456967213114754,0.5543032786885247,7032,0.4424242424242424,0.5575757575757576,7369,0.49336057201225736,0.5066394279877425,7960,0.42427385892116176,0.5757261410788381,7375,0.2970620239390642,0.7029379760609358,7570,-0.20561842641093575,-0.0033534198645096547,-0.22178036633333337,-0.09273090711333998,0.1073083351809046,0.047216701016557616,0.06871336967327069,0.037392918746475434,-0.018560170869757586,-0.041188618604742655,-0.12307877427683822,-0.1988897767994331,-0.23926843952534682,-0.27956738124635194,-0.31978691613423393,-0.3599273565071428,-0.3999890128444292,8010.428571428572,7671.321428571428,7739.142857142857,7806.964285714286,7874.785714285715,7942.607142857143
3,Boone,0.40770791075050716,0.592292089249493,11082,0.3211764705882353,0.6788235294117647,11614,0.33032128514056225,0.6696787148594379,11306,0.37927565392354123,0.6207243460764588,11222,0.47770700636942676,0.5222929936305732,13627,0.46388261851015805,0.536117381489842,13009,0.4295991778006166,0.5704008221993834,15523,0.4265593561368209,0.5734406438631791,19541,0.5214723926380368,0.47852760736196315,22238,0.47088866189989786,0.5291113381001021,21441,0.4227027027027027,0.5772972972972973,23001,-0.07997774764729726,-0.09311770324949287,-0.29227056241176474,-0.16561925085943774,-0.0028632470764587414,-0.03281585035357326,0.01693603292615803,0.021295375235616643,-0.034425057157179084,-0.013076797978963217,-0.07646397129810212,-0.07336317576528728,-0.08400113284422872,-0.09461808703274244,-0.10521412110093564,-0.11578931733056663,-0.12634375751893856,34779.607142857145,25658.892857142855,27483.035714285717,29307.178571428572,31131.321428571428,32955.46428571428
4,Brown,0.5020325203252032,0.4979674796747967,3103,0.36391752577319586,0.6360824742268042,2692,0.3935742971887551,0.606425702811245,2446,0.47995991983967934,0.5200400801603207,2646,0.5265760197775031,0.4734239802224968,2689,0.4865470852017938,0.5134529147982063,2297,0.413265306122449,0.5867346938775511,2660,0.34738955823293177,0.6526104417670683,2585,0.39002036659877803,0.6099796334012221,2577,0.34224049331962997,0.65775950668037,2364,0.2094240837696335,0.7905759162303665,2379,-0.29325636658036647,0.0012069063252031498,-0.24952950722680417,-0.1023662388112449,0.09782101883967936,0.016053163054503106,0.03960049961779377,0.00496150355744901,-0.1135948550610682,-0.14452882401822198,-0.20511213987837001,-0.31571785524604934,-0.3689107945207013,-0.42199871311643733,-0.4749820249082859,-0.5278611413294811,-0.5806364713907044,2215.988095238095,2378.428571428571,2345.940476190476,2313.4523809523807,2280.9642857142853,2248.4761904761904
5,Bureau,0.4109311740890688,0.5890688259109311,18648,0.33405172413793105,0.665948275862069,18587,0.3708542713567839,0.629145728643216,18765,0.4527162977867203,0.5472837022132796,16351,0.5248756218905473,0.47512437810945274,17907,0.5396825396825397,0.4603174603174603,16073,0.47623966942148754,0.5237603305785123,16823,0.4476861167002012,0.5523138832997988,17902,0.5291113381001021,0.47088866189989786,17153,0.49897540983606564,0.5010245901639344,16686,0.3939393939393939,0.6060606060606061,16571,-0.10874105641060605,-0.08989443991093121,-0.279395308862069,-0.1250862646432161,0.07057739678672031,0.014352765167547243,0.09273595409853963,0.06793586685648756,-0.013298296593798775,-0.005437852516897879,-0.04837722336193434,-0.0950236356388956,-0.1179250573300692,-0.14078126394407775,-0.16359243366859744,-0.18635874364002802,-0.2090803699517778,16905.428571428572,16920.07142857143,16917.14285714286,16914.214285714286,16911.285714285714,16908.357142857145
6,Calhoun,0.531850353892821,0.4681496461071789,2943,0.4312306101344364,0.5687693898655636,2895,0.4668008048289738,0.5331991951710261,3107,0.5546639919759279,0.44533600802407225,2790,0.6707920792079207,0.32920792079207917,2803,0.6405529953917051,0.35944700460829493,3013,0.5158974358974359,0.48410256410256414,2602,0.5090725806451613,0.49092741935483875,2706,0.5383828045035824,0.4616171954964176,2706,0.4284253578732106,0.5715746421267893,2576,0.30020920502092047,0.6997907949790795,2571,-0.2024712453290795,0.03102473989282095,-0.1822164228655636,-0.029139731171026195,0.17252509097592789,0.1602692224849207,0.19360640980770505,0.10759363333243588,0.04808816735116128,0.003833613886582432,-0.11892727532478936,-0.20253941271630538,-0.25730925118406844,-0.3119709556457053,-0.36652495224555537,-0.42097166461374513,-0.47531151388602666,2326.738095238095,2534.178571428571,2492.690476190476,2451.2023809523807,2409.7142857142853,2368.2261904761904
7,Carroll,0.39979757085020245,0.6002024291497976,8526,0.29711751662971175,0.7028824833702882,8023,0.3139418254764293,0.6860581745235708,7658,0.40120967741935487,0.5987903225806452,7512,0.4644194756554308,0.5355805243445693,7679,0.49086757990867586,0.5091324200913242,6799,0.44834710743801653,0.5516528925619835,7177,0.438508064516129,0.561491935483871,8135,0.5244399185336048,0.4755600814663951,7693,0.5076923076923077,0.49230769230769234,7406,0.35567567567567565,0.6443243243243243,7445,-0.14700477467432432,-0.10102804314979758,-0.3163295163702883,-0.1819987105235707,0.019070776419354896,-0.04610338106756923,0.04392099432467583,0.04004330487301655,-0.02247634877787097,-0.010109272083395182,-0.03966032550569232,-0.09250949135157072,-0.10845223420877659,-0.12436350075159908,-0.1402434150247842,-0.1560921003411906,-0.1719096792876229,7685.0,7577.5,7599.0,7620.5,7642.0,7663.5
8,Cass,0.5045226130653266,0.49547738693467336,7144,0.3908523908523909,0.6091476091476091,6770,0.4608433734939759,0.5391566265060241,6399,0.5321931589537223,0.4678068410462776,6267,0.5968712394705175,0.4031287605294826,6447,0.5611672278338945,0.43883277216610556,5667,0.48463114754098363,0.5153688524590164,5899,0.4405241935483871,0.5594758064516129,5700,0.5066530194472876,0.4933469805527124,5432,0.43135245901639346,0.5686475409836066,4878,0.3347457627118644,0.6652542372881355,5124,-0.16793468763813557,0.0036969990653266116,-0.22259464214760916,-0.03509716250602407,0.15005425795372235,0.08634838274751744,0.11422064224989448,0.07632734497598365,-0.02046021974561285,-0.027896171169712436,-0.11600017418160652,-0.18889646154076445,-0.23320805438851266,-0.27743216130991755,-0.32156912707753804,-0.3656192944297061,-0.4095830040867554,3782.404761904762,4779.428571428572,4580.023809523809,4380.619047619048,4181.214285714286,3981.809523809524
9,Champaign,0.43782117163412126,0.5621788283658787,63107,0.3870192307692308,0.6129807692307692,65360,0.40986908358509566,0.5901309164149042,66925,0.4717741935483871,0.528225806451613,63499,0.5637254901960784,0.43627450980392163,76092,0.5350109409190371,0.4649890590809628,66429,0.5063559322033898,0.49364406779661013,74285,0.5101214574898786,0.4898785425101215,82434,0.5895598771750256,0.41044012282497444,84408,0.5361570247933884,0.46384297520661155,78609,0.6004390779363338,0.39956092206366634,91628,0.0977586275863338,-0.06300444236587877,-0.22642780223076925,-0.08607145241490433,0.08963529254838715,0.05320263347307841,0.08806435533503709,0.09805212963838983,0.04913704419587861,0.055010686558025546,-0.011195608404611535,0.04287579898289451,0.03800104496401602,0.03313591534235982,0.028280372189215086,0.02343437779966706,0.018597894690788763,107886.72619047618,91721.60714285714,94954.63095238095,98187.65476190476,101420.67857142858,104653.70238095238
